artist,total_plays,jon,ico,matt,austin
Afourteen,982276,2,0,0,0
Al Wilson,430050,2,0,0,0
Alabama Shakes,17688027,2,41,0,0
Alex Turner,11649809,2,0,0,0
Alexander Rybak,3507827,2,0,0,0
Allan Holdsworth,1597370,2,0,0,0
Anekdoten,1736203,2,0,0,0
Antarctigo Vespucci,1134526,2,0,0,0
Antemasque,1186337,2,0,27,0
Anthony Moore,41695,2,0,0,0
Aphrodite's Child,2458133,2,0,0,0
Austyn Gillette,49788,2,0,0,0
Bad Suns,6452919,2,0,0,0
beabadoobee,11311767,2,185,0,4
Big K.R.I.T.,12918904,2,161,1,0
Big L,9713430,2,241,0,0
Bill Bruford,447129,2,0,0,0
Bill Haley & His Comets,2595134,2,0,0,0
Bill Walton,52484,2,0,0,0
Billy Childish,225656,2,0,0,0
Billy Marchiafava,930782,2,0,0,6
Birdtalker,752876,2,0,0,0
Birdy,32328286,2,0,0,0
Black Mountain,5881014,2,0,1,0
Black Pumas,2365878,2,0,0,1
Bohannon,199704,2,0,0,1
Bombay Bicycle Club,42249208,2,40,0,0
Boz Scaggs,3604777,2,0,0,0
Bruno Sanders,92445,2,0,0,0
Buddy Holly,12927770,2,0,0,0
Camera Obscura,25607887,2,806,0,0
Carl Orff,4282125,2,0,0,1
Carly Simon,6035860,2,0,0,0
Carpenters,15089388,2,0,0,0
Chantel Jeffries,208227,2,0,0,0
chetta,449396,2,0,0,0
Childish Gambino,91239519,2,37,11,3
Chilliwack,200859,2,0,0,0
Chris Brown,62848989,2,94,2,1
Christian Sinding,47804,2,0,0,0
Cocteau Twins,45765901,2,310,7,0
Colter Wall,2350747,2,0,0,2
Cooper Brothers,2660,2,0,0,0
Corey Kilgannon,284215,2,0,0,0
Corners,234151,2,0,0,0
Corpse,7916145,2,0,0,0
Courtney Barnett,14831682,2,69,2,0
Crowded House,14087693,2,96,1,0
Crying,1214185,2,1891,0,0
Cullah,90362,2,0,0,0
Dada Plan,37842,2,0,0,0
Damien Jurado,10261491,2,69,0,0
Daniel Caesar,23241091,2,0,2,3
Danny Brown,32973481,2,785,0,0
Danny Walgreen,93467,2,0,0,0
Daughters,8517117,2,282,0,0
Dave Van Ronk,1297726,2,0,0,0
Dead Ghosts,920827,2,0,1,0
deadmau5,58179548,2,0,368,0
Deafheaven,11327658,2,805,4,0
Deal Casino,253461,2,0,0,0
Deftones,126890516,2,35,343,0
Del Amitri,2776198,2,0,0,0
Dermot Kennedy,6064620,2,25,0,0
Desiigner,4810288,2,0,0,0
Diana Ross,10217742,2,0,0,0
Dio,27753188,2,0,0,0
Diplo,13961145,2,0,1,0
Disclosure,42773318,2,0,0,0
DJ Fresh,8670917,2,23,0,0
DJ Khaled,22811474,2,0,1,4
DJ Sabrina The Teenage DJ,909649,2,2611,3,3
Doddy Gatz,27531,2,0,0,0
DOGDEER,26603,2,0,0,0
Domingo Ruiz,14701,2,0,0,0
Don McLean,7758646,2,0,2,11
Dreamers,2640646,2,0,0,0
Echo & the Bunnymen,21418331,2,0,0,0
Edwin Starr,2669168,2,0,0,0
Elvis Costello,19752129,2,0,1,0
Eminem,259741134,2,53,1,11
England Dan & John Ford Coley,767568,2,0,0,0
Feet,267256,2,36,1,0
Flower Travellin' Band,617869,2,0,2,0
Foghat,3352811,2,0,0,1
Fountains of Wayne,10526121,2,0,0,0
Francesca Marr,83031,2,0,0,0
Fritz Kreisler,501703,2,55,1,1
Froggy Fresh,140574,2,0,0,1
FUKKIT,973626,2,0,0,0
fun.,33264914,2,0,0,0
G-Eazy,21579804,2,0,0,1
George Alec,97453,2,0,0,0
George Ezra,16696465,2,0,0,0
Gillian Welch,6665518,2,0,0,0
Gnash,5324647,2,0,0,0
Grouplove,20637551,2,22,0,0
Gum,1154116,2,0,0,0
Happyness,858888,2,0,0,0
Harlequin Gold,18685,2,0,0,0
Harrison Fjord,102323,2,0,0,0
Hey Major,1952,2,0,0,0
Holborns,52052,2,0,0,0
Holychild,999716,2,0,0,0
Hot Snakes,3121007,2,111,203,0
Houses,2211935,2,0,0,0
Iggy Azalea,37706593,2,0,0,0
Imogen Heap,38744684,2,0,0,0
Iris DeMent,991335,2,0,0,0
Jackie Hayes,148700,2,0,0,0
Jackie Wilson,3795039,2,0,0,0
Jaco Pastorius,3618022,2,0,17,0
Jacob Gade,24900,2,0,0,0
Japanese Breakfast,13441830,2,72,2,0
Jason Mraz,66995475,2,0,0,0
Jawbreaker,10272020,2,0,74,0
Jay-Z,112301562,2,50,1,0
Jeremy Messersmith,1354315,2,0,0,0
Jerry Lee Lewis,6352659,2,0,0,1
Jimmy Eat World,76998411,2,18,1,1
Jimmy Ruffin,1371130,2,0,0,0
Jimmy Smith,2744761,2,0,1,0
Joe Jackson,5879653,2,0,0,0
Johannes Brahms,10828352,2,23,0,0
John Travolta,2911160,2,0,0,0
Jonathan Richman,3732145,2,0,0,0
JPEGMAFIA,39566909,2,141,0,0
Justin Timberlake,85201532,2,56,1,3
Justin Townes Earle,4016803,2,0,0,0
Kate NV,589985,2,0,0,0
Katy Perry,207901876,2,0,0,0
Kero Kero Bonito,17985460,2,517,1,0
Kultivator,37700,2,0,0,0
Kylof Söze,111620,2,0,0,0
Lighthouse,146462,2,0,0,0
Lil Dicky,4531076,2,0,0,2
LIL PUMP,6961596,2,0,0,0
Lil' Wayne,83448681,2,0,0,7
Linkin Park,337888977,2,0,0,0
Lionel Richie,11535834,2,0,0,0
Little Richard,6888333,2,0,0,0
Little River Band,2627084,2,0,0,3
Live Solum,214442,2,0,0,0
Liz Phair,8829849,2,21,0,0
LMFAO,20789856,2,0,0,0
Loggins & Messina,1424601,2,0,0,2
Looking Glass,1508632,2,0,3,24
LUKEBIKE,63630,2,0,0,0
lzr,51392,2,0,0,0
M83,94679751,2,0,1,0
Magazine,3478278,2,0,0,0
Manchester Orchestra,25074712,2,0,0,0
Mannequin Pussy,2020446,2,248,1,0
Mary Steinbrecher,75081,2,0,0,0
Matthew Simmons,94916,2,0,0,0
Meat Puppets,6828219,2,0,1,0
Meatbodies,607362,2,0,1,0
Melanie,2128900,2,0,0,0
Mercury Rev,7401591,2,594,0,0
Mission of Burma,5450360,2,0,536,0
Mitski,70168016,2,121,0,0
Modest Mouse,136267352,2,67,4,0
Morgan Delt,1000161,2,0,0,0
Morrissey,59322899,2,0,0,0
Mr. Elevator,70378,2,0,0,0
Mumford & Sons,107374036,2,0,0,0
Mystic Braves,768064,2,0,0,0
Natasha Bedingfield,18801570,2,154,2,2
Nektar,1170980,2,0,0,0
Neutral Milk Hotel,64590699,2,26,76,0
Nick Cave & The Bad Seeds,73473117,2,113,0,0
Nicki Minaj,110603491,2,0,3,5
Nina Simone,47601189,2,0,0,3
Nirvana,267988765,2,34,451,2
Oingo Boingo,8413287,2,0,0,0
Orleans,878218,2,0,0,4
Oscar Peterson Trio,3416653,2,0,2,4
Palm,773467,2,0,0,0
Panic! at the Disco,146100484,2,0,2,0
Paramore,228699690,2,83,0,0
Pat Benatar,8394467,2,0,0,0
Paul Dukas,202994,2,0,0,0
Perfume Genius,19596564,2,383,0,0
Pete Seeger,2366539,2,0,0,0
Peter & Gordon,694874,2,0,0,0
Philip Glass,24685850,2,0,0,0
Platinum Blonde,176910,2,0,0,0
Prompto,306754,2,0,0,0
PVRIS,13217829,2,0,0,0
Ramirez,4771869,2,0,0,0
Ramones,80231071,2,0,2,2
Ray Noble & His Orchestra,66928,2,0,0,0
Red Vox,1857693,2,0,0,0
Reigning Sound,1526241,2,0,0,0
Reptaliens,267735,2,0,0,0
robert elovsson,156781,2,0,0,0
Robin Thicke,15181955,2,0,0,0
Rodrigo y Gabriela,11635696,2,0,0,0
Roger Hodgson,643973,2,0,0,0
Ron Fields,72828,2,0,0,0
Rosie O'Donnell,100443,2,0,0,0
Run–D.M.C.,2191533,2,0,0,0
Salt Cathedral,497331,2,0,0,0
Sam Cooke,18778330,2,0,0,2
Scott Joplin,1223270,2,0,0,0
Semisonic,8170024,2,0,0,0
Shocking Blue,4325068,2,0,0,0
sister sparrow,59905,2,0,0,0
Skinshape,2293154,2,0,0,0
Sloan,4115493,2,0,0,0
Small Forward,231709,2,0,0,0
Smokey Robinson and The Miracles,4981691,2,0,0,0
Sneaky Pete Kleinow,54822,2,0,0,0
Soft Cell,9650546,2,0,0,0
Speck Joliet,17615,2,0,0,0
Spoon,51101487,2,0,14,0
Spose,800355,2,0,3,102
Steppenwolf,10579851,2,0,0,2
Steve Hackett,3578131,2,0,0,0
Strawberry Alarm Clock,1671188,2,0,0,0
Sublime,59538028,2,0,0,0
Swerzie,134798,2,0,0,0
Sxmpra,135732,2,0,0,0
System of a Down,254621473,2,0,491,0
The Beets,705297,2,0,0,0
The Brian Jonestown Massacre,23499867,2,47,2,0
The Champs,1011752,2,0,0,0
The Claypool Lennon Delirium,983263,2,0,0,0
The Electric Prunes,1740476,2,0,0,0
The Glorious Sons,901361,2,0,0,0
The Growlers,11533150,2,0,0,0
The Guess Who,4702009,2,0,0,0
The Hollies,9075005,2,0,0,0
The King Khan & BBQ Show,1917916,2,0,0,0
The Kingston Trio,1051393,2,0,0,0
The Lemon Pipers,246589,2,0,0,0
The Lemon Twigs,1598204,2,0,0,0
The Louisville Orchestra,7136,2,0,0,0
The New Pornographers,28283828,2,0,0,0
The Osborne Brothers,231149,2,0,0,0
The Pains of Being Pure at Heart,14734703,2,697,12,0
The Palms,633968,2,0,0,0
The Platters,4394507,2,0,0,0
The Pretenders,10238861,2,0,0,0
The Slaps,194891,2,0,0,0
The Trammps,1550150,2,0,0,0
The Tubes,783175,2,0,0,0
The White Stripes,139397532,2,27,0,0
Thom Rotella Band,4298,2,0,0,0
Three Dog Night,4695324,2,0,0,6
Tim Heidecker,509992,2,0,0,0
Tom Waits,95272993,2,97,5,0
Tommy Cash,2261858,2,0,0,0
Toro y Moi,34117780,2,0,2,0
Tower of Power,3554564,2,0,0,0
Trinidad James,1004632,2,0,0,0
TrippyThaKid,278928,2,0,0,0
Tropical Fuck Storm,1976741,2,222,9,0
TTRRUUCES,118334,2,0,0,0
Tunewave,92,2,0,0,0
Turnover,11765283,2,0,59,0
Tyga,19942846,2,0,0,0
Vashti Bunyan,9018798,2,0,0,0
Vengaboys,4599071,2,0,2,0
W.A.S.P.,17489653,2,0,0,0
Walk the Moon,17542713,2,23,0,0
Wallows,21952987,2,170,2,2
We Hunt Buffalo,239011,2,0,0,0
Ween,25131719,2,292,35,7
White Denim,5767894,2,0,0,0
Whitesnake,22903269,2,0,0,0
Wishbone Ash,4206455,2,0,0,0
Witch,1678999,2,0,8,0
Wolf Alice,16284230,2,0,0,0
Woods,7095948,2,0,0,0
XATASHI,31611,2,0,0,0
XTC,13890895,2,0,0,0
Yellowcard,50635650,2,0,0,0
Yiruma,15140394,2,0,0,2
Yung Yogi,27568,2,0,0,0
Zager & Evans,542137,2,0,0,0
110th Street Jazz Trio,21627,1,0,0,0
30 Seconds to Mars,118330458,1,0,0,0
3OH!3,31850922,1,0,0,0
5 Seconds of Summer,53002644,1,0,0,0
50 Cent,48551937,1,0,2,12
A Tribe Called Quest,54078687,1,21,332,0
A&J,6021,1,0,0,0
A$AP Rocky,88577332,1,39,2,2
Aaron Carter,1311787,1,0,0,0
ABC,4353247,1,0,0,0
Academy of St. Martin in the Fields,448979,1,0,0,0
Adam Levine,2057601,1,0,0,0
Adebisi Shank,1533784,1,0,0,0
Adrian Belew,1337176,1,0,0,0
Al Bowlly,1018449,1,0,0,0
Al Di Meola,3911744,1,0,0,0
Al Lover,152050,1,0,0,0
"Albert Hammond, Jr.",9886733,1,0,0,0
Alexandra Savior,3277389,1,92,0,0
Alexandre Desplat,20356653,1,0,0,0
Alexisonfire,42799390,1,300,801,0
Alfons,625650,1,0,1,0
Alicks,1033671,1,0,0,0
The Beths,2333755,0,3597,16,26
Massive Attack,128777732,0,1753,203,0
Madeon,12504295,0,1718,1,0
Swans,30793552,0,1343,0,0
Nilüfer Yanya,2624030,0,1165,0,0
Sewerslvt,4571819,0,1114,0,0
Drive Like Jehu,2559476,0,998,546,0
Iglooghost,3034381,0,813,0,0
Lydia,8716477,0,793,0,0
Death Grips,65698855,0,763,104,1
Deamn,231969,0,708,0,0
Pronoun,356286,0,648,0,0
dogleg,1221587,0,618,1,0
Raveena,3439810,0,593,2,0
Valerie June,1729550,0,586,0,0
Copeland,17074573,0,574,0,0
BROCKHAMPTON,93825375,0,561,65,0
Ethan Gruska,437790,0,556,1,0
Broken Social Scene,57206934,0,514,0,0
Julee Cruise,3709335,0,501,0,0
Joey Bada$$,29696609,0,492,12,10
Caroline Rose,2003871,0,478,0,1
Let's Eat Grandma,2585843,0,478,0,0
Porter Robinson,18469818,0,475,48,2
Sophie,13505160,0,471,0,0
Rites of Spring,2839514,0,470,30,0
Help Stamp Out Loneliness,79241,0,463,1,0
Gabrielle Aplin,8716990,0,454,0,0
Hüsker Dü,13913031,0,438,538,0
Have a Nice Life,16234752,0,405,155,0
Jessie Ware,27788145,0,403,1,0
Blood Diamonds,671879,0,398,0,0
HAIM,37316263,0,388,0,0
Barrie,936081,0,383,1,0
FKA twigs,34559071,0,379,0,0
Faye Webster,5574540,0,377,0,0
CunninLynguists,16825353,0,376,14,0
slayyyter,9325235,0,375,0,0
Yves Tumor,11965952,0,363,0,0
Clairo,40287704,0,358,0,0
Blanck Mass,2280898,0,356,0,0
Cult of Luna,13269855,0,349,0,0
Little Simz,9123758,0,342,0,2
Tricky,31159345,0,342,16,0
Hazel English,1440025,0,308,0,0
no vacation,3789986,0,306,0,0
Dance Gavin Dance,36430974,0,302,1,0
The Microphones,23780250,0,296,189,0
Martha,1081566,0,290,0,0
The Blood Brothers,12344805,0,280,0,0
Destroyer,17097225,0,277,9,0
Girls,15496961,0,271,1,0
Air,94739506,0,264,107,0
Four Tet,35585356,0,262,0,1
Fever Ray,27275418,0,255,0,0
Gang of Youths,3730351,0,254,4,0
The Fall of Troy,18553594,0,254,153,0
Liturgy,2889249,0,250,0,0
Gryffin,6673753,0,245,0,0
The Aces,3552953,0,245,0,0
Virtual Self,1045897,0,241,0,0
Shellac,5693570,0,234,73,0
Yumi Zouma,3641837,0,234,0,0
Arcade Player,956080,0,225,1,2
Yandere,228609,0,225,0,0
Dead Kennedys,26511084,0,221,315,0
Anamanaguchi,12978075,0,218,1,0
070 Shake,5280448,0,217,0,0
Johann Sebastian Bach,65123643,0,217,1,45
Denzel Curry,36647604,0,216,3,15
Waxahatchee,9238967,0,215,0,0
Wipers,5185522,0,209,39,0
Closure in Moscow,3730328,0,208,53,0
SG Lewis,5584355,0,208,0,0
Luomo,1548735,0,205,0,0
The Mowgli's,3818615,0,204,0,0
Petite Meller,583903,0,203,0,0
Hannah Cohen,488214,0,201,0,0
Matmos,2474224,0,199,0,0
Chloe Moriondo,3462977,0,197,0,0
Sunny Day Real Estate,10561361,0,196,21,0
Superorganism,3171788,0,193,2,0
Dua Lipa,114196111,0,187,1,2
Godspeed You! Black Emperor,24098925,0,186,0,0
One Last Wish,431412,0,186,0,0
Snail's house,2682149,0,185,2,0
NoName,8486861,0,181,0,0
Janelle Monáe,31841310,0,180,0,0
Jenevieve,737196,0,178,0,0
Gorillaz,223835889,0,177,69,0
Culture Shock,986944,0,176,1,2
Danny L Harle,2107384,0,174,0,0
The Antlers,25694554,0,174,0,0
City of Caterpillar,1113127,0,173,1,0
Black Eyes,1051073,0,171,10,0
Cloud Nothings,12151422,0,170,512,0
Doja Cat,101182748,0,167,0,0
Bill Evans Trio,6298275,0,165,8,1
famba,95622,0,165,0,1
Weyes Blood,12276901,0,165,0,0
Molly Burch,1318413,0,163,0,0
Squarepusher,16710025,0,163,0,0
Zomby,7435457,0,162,0,0
The Courtneys,487550,0,160,0,0
club night,40465,0,158,0,0
Natalie Imbruglia,15459874,0,157,0,0
Nails,5373464,0,156,0,0
Ulcerate,2370992,0,156,0,0
Lizzo,21776245,0,155,0,0
Jamie xx,18778385,0,153,0,0
Poppy,17602522,0,153,0,0
Marissa Nadler,6610770,0,152,0,0
BACKxWASH,535379,0,151,1,1
bôa,5029740,0,150,0,1
Hillsong United,13608589,0,149,0,0
Indian Summer,1221871,0,149,0,0
Polish Club,292452,0,149,0,0
Duster,12251418,0,147,0,0
Xiu Xiu,20451610,0,146,0,0
M.I.A.,66381070,0,145,2,2
I Know Leopard,213864,0,143,0,0
Fickle Friends,2509190,0,142,1,2
Bicep,4982498,0,141,0,0
Low,22157609,0,140,1,0
Everything Everything,15055368,0,137,1,0
Kim Petras,25444517,0,137,0,0
Shy Kids,124188,0,136,0,0
Chastity,173484,0,135,0,0
Clarence Clarity,3025051,0,135,0,0
Rolling Blackouts Coastal Fever,2391582,0,135,0,0
Hop Along,5205546,0,134,0,0
Magdalena Bay,3584186,0,132,3,0
Mura Masa,10219934,0,132,0,0
Nas,64226593,0,131,0,6
Doss,581362,0,130,2,2
JVNA,268588,0,130,0,0
ratboy,480179,0,130,0,0
Dinosaur Jr.,29504988,0,129,1,0
Weatherday,2570665,0,129,0,0
Bibio,17373517,0,127,0,0
Culture Abuse,873451,0,127,0,0
Mew,32814811,0,126,267,0
Travi$ Scott,61742894,0,124,0,0
TOKiMONSTA,7673171,0,123,0,0
Forth Wanderers,1193516,0,122,0,0
Sigala,6372052,0,121,0,0
Injury Reserve,9778012,0,120,0,0
Blind Mr. Jones,341285,0,119,0,0
Judas Priest,72488618,0,119,0,0
clipping.,9629905,0,118,0,0
Wild Nothing,20019398,0,118,0,0
Cap'n Jazz,7621864,0,117,1,0
Bad Moves,198246,0,116,0,0
Oxbow,1093646,0,115,0,0
TOPS,4299884,0,115,0,0
Jamila Woods,1799904,0,114,0,0
Laura Marling,33839061,0,114,0,0
Code Orange,3708644,0,113,0,0
Anna von Hausswolff,3120897,0,112,0,0
Ne-Yo,29495891,0,112,0,6
Bladee,60636684,0,111,0,0
Zeal & Ardor,3150212,0,111,0,0
Balthazar,7360366,0,110,0,0
Hailee Steinfeld,11038442,0,109,0,0
The Avalanches,30454297,0,109,79,2
The Flaming Lips,60064717,0,109,7,0
Antonio Vivaldi,28183793,0,108,1,4
Bad Boy Chiller Crew,320610,0,108,7,0
Tkay Maidza,3181149,0,108,0,0
Dehd,1240212,0,107,0,0
Blood Orange,26008116,0,106,0,1
Feist,71237298,0,106,1,1
Maren Morris,3605402,0,106,0,0
Yukika,3343760,0,105,0,0
Angel Du$t,1764671,0,104,0,0
Beyoncé,213459350,0,104,1,2
Diet Cig,1599273,0,104,0,0
Portishead,92474658,0,104,44,0
Stella Donnelly,2043195,0,104,0,0
Anonymous,2020480,0,103,0,0
Auli'i Cravalho,1799022,0,103,0,0
Jordin Sparks,11712148,0,102,0,1
Laurel,1857498,0,102,0,0
Illuminati Hotties,1498790,0,101,1,0
Genesis Owusu,1744511,0,100,1,1
The Big Moon,1407758,0,100,0,0
Turnstile,8501856,0,100,0,0
Mariam the Believer,223077,0,99,0,0
Sun Kil Moon,16329586,0,99,0,0
Battles,16205710,0,98,2,1
Georgia,1678589,0,98,0,0
Justice,63469771,0,97,1,1
mclusky,4679306,0,97,0,0
Tierra Whack,6133885,0,97,0,0
A Lot Like Birds,2289607,0,96,0,0
Touché Amoré,19940049,0,96,0,0
Doe Paoro,255190,0,95,0,0
Young Thug,54244230,0,95,0,4
Burzum,26559701,0,94,1,0
J. Cole,83299644,0,94,0,7
Musette,314210,0,94,0,0
Widowspeak,3875999,0,93,0,0
Jonathan,62693,0,92,0,0
Liz Lawrence,334735,0,92,0,0
Panda Bear,18791593,0,92,2,0
Deltron 3030,9277592,0,91,0,0
goat girl,1134423,0,91,0,0
Sweet Trip,10587460,0,91,0,0
Filmmaker,527365,0,90,0,0
Frodus,425946,0,90,0,0
Barely Alive,719389,0,89,0,0
Remember Sports,1066413,0,89,0,0
Soul Glo,251398,0,89,0,0
Coheed and Cambria,53469229,0,88,0,0
Max,12019670,0,88,0,0
Pusha T,20352874,0,88,0,0
The Nation of Ulysses,1152274,0,88,7,0
Wilco,67754694,0,88,0,0
Circa Survive,33002420,0,87,67,0
Floral Tattoo,212672,0,87,0,0
Ford.,746689,0,87,1,1
Pixies,120305617,0,86,2,0
Chris Keys,599662,0,85,0,0
Algiers,1938969,0,84,0,0
Altar of Plagues,1923900,0,84,0,0
Twin Shadow,14089448,0,84,0,0
Big Black,6763549,0,83,48,0
Cressida,445982,0,83,0,0
Ondatrópica,544423,0,83,0,0
Rhye,13293878,0,83,0,0
PUP,9706655,0,82,0,0
Classixx,2502543,0,81,0,0
Hannah Grace,120451,0,81,0,0
Jung,415962,0,81,0,0
Melt-Banana,6234337,0,81,0,0
Remi Wolf,4041314,0,81,0,0
Barely Civil,67334,0,80,0,0
Jessy Lanza,2663060,0,80,0,0
Kelsey Lu,2273373,0,80,0,0
Kylie Minogue,92523858,0,80,1,3
RVG,113991,0,80,0,0
cosha,192483,0,79,1,1
Mariah Carey,115892415,0,79,0,0
Mario,8327115,0,79,2,2
Nicole Atkins,1477524,0,79,0,0
Svalbard,539628,0,79,0,0
My Morning Jacket,27648006,0,78,37,8
Autechre,24777495,0,77,0,0
Brand New,96294380,0,77,109,0
Elio,929956,0,77,0,0
James Blake,60486340,0,77,0,0
Panopticon,2323584,0,77,6,0
Refused,13838037,0,77,177,0
Machine Girl,7476219,0,76,0,0
NANORAY,405567,0,76,0,0
Lauv,33244417,0,75,0,0
Billy Woods,3036626,0,74,0,0
Charly Bliss,2063204,0,74,0,0
Hum,3882199,0,74,0,0
Regina Spektor,91475441,0,74,0,0
Street Sects,826348,0,74,0,0
adult mom,1341554,0,73,0,0
Cory Wong,1318674,0,73,0,0
Keri Hilson,11703378,0,73,2,3
Oh Wonder,13191805,0,73,0,0
Passion Pit,52019096,0,73,0,0
Marching Church,494738,0,71,0,0
Moby,102615141,0,71,0,3
Natalia Lafourcade,8298718,0,71,0,0
The Men,2894687,0,71,0,0
Miasmatic Necrosis,55026,0,70,0,0
Pile,2050996,0,70,176,0
Saba,10967411,0,70,0,0
SZA,51486218,0,70,0,0
Bill Evans,15537366,0,69,10,1
Jay Som,4219096,0,69,0,0
Strange Ranger,421144,0,69,0,0
Wire,17508979,0,69,0,0
Minutemen,12579492,0,68,1154,0
Dayglow,8370289,0,67,0,0
Deakin,620351,0,67,0,0
Hannah Diamond,2667847,0,67,0,0
Roy Blair,2666302,0,67,0,0
Adult Jazz,677308,0,66,0,0
Mobb Deep,18747055,0,66,0,0
Shura,4613892,0,66,0,0
Black Eyed Peas,84518413,0,65,3,1
Cautious Clay,2690681,0,65,1,1
Christie Front Drive,931996,0,65,0,0
Julia Jacklin,4039826,0,65,0,0
The National,164583482,0,65,0,0
Estelle,9502983,0,64,2,1
Alicia Keys,59387085,0,63,1,2
Avey Tare,2433321,0,63,0,0
Farewell Poetry,50815,0,63,0,0
Helado Negro,2465193,0,63,0,0
Our Lady Peace,12477232,0,63,2,0
The Verve,38339426,0,63,0,0
Tycho,32503482,0,63,2,0
Yola,737391,0,63,0,0
Mazzy Star,24527230,0,62,0,0
Converge,34987775,0,61,0,0
Jawbox,1980662,0,61,0,0
Susanne Sundfør,7666899,0,61,0,0
DJ Shadow,41322629,0,60,0,0
Pinegrove,8386573,0,60,0,0
Traditional,2781336,0,60,0,0
Black Breath,1700772,0,59,0,0
Chris Stapleton,5367645,0,59,0,0
Emperor,12422987,0,59,0,0
Fiona Apple,57247287,0,59,0,0
FONTAINES D.C.,4977079,0,59,0,0
Jenny Lewis,7241825,0,59,0,0
Protomartyr,6259205,0,59,0,0
Sorry,1650622,0,59,0,0
The Griswolds,1743167,0,59,0,0
MEDHANE,895904,0,58,0,0
Notches,29456,0,58,0,0
Rafael Lechowski,83866,0,58,0,0
Shinichi Suzuki,36458,0,58,0,0
The Go! Team,14260452,0,58,0,0
Girls Aloud,21319986,0,57,0,0
Lift to Experience,472385,0,57,0,0
Rustie,4683549,0,57,0,0
George Clanton,3366683,0,56,0,0
Ichiko Aoba,4808859,0,56,2,0
Lady Gaga,409513944,0,56,1,0
Maybeshewill,13122032,0,56,36,0
Middle Kids,1484835,0,56,0,0
NEUPINK,63925,0,56,0,0
Clams Casino,10449427,0,55,0,0
Dixie Chicks,11163084,0,55,0,0
Joey Purp,1667274,0,55,0,0
Liars,12054236,0,55,1,0
LINGUA IGNOTA,2255086,0,55,0,0
Space Daze,37938,0,55,0,0
A$AP Ferg,16358176,0,54,0,1
Kelly Clarkson,73669393,0,54,2,2
King Princess,10939485,0,54,0,0
Twin Forks,759623,0,54,0,0
Young Jesus,458040,0,54,0,0
Cut Copy,35463272,0,53,0,0
Radical Face,13317385,0,53,0,0
Special Interest,240112,0,53,0,0
Uppermost,2541593,0,53,0,0
Dear Nora,1097805,0,52,0,0
Dirty Projectors,17951398,0,52,0,0
Freddie Gibbs,32786797,0,52,4,1
Marina,42959684,0,52,0,0
Tamaryn,3037940,0,52,0,0
The Chemical Brothers,66512874,0,52,0,0
The Radio Dept.,25052195,0,52,0,0
Tonight Alive,8630477,0,52,0,0
bAnoffee,582564,0,51,0,0
Destiny's Child,28658006,0,51,0,0
Horsey,297048,0,51,2,1
Local Natives,29001507,0,51,3,0
Nazar,607496,0,51,0,0
Porcupine Tree,82598818,0,51,0,0
Saosin,27315360,0,51,0,0
Tennis,12882602,0,51,0,0
99RadioService,182696,0,50,0,0
James Ivy,287992,0,50,0,0
Jessie J,35610630,0,50,0,0
Kimbra,8897309,0,50,0,0
MIYNT,190420,0,50,0,0
Pinkshinyultrablast,1692934,0,50,0,0
Planning for Burial,1671455,0,50,0,0
Rinse,56329,0,50,0,0
Skee Mask,2074660,0,50,0,0
SPELLLING,2122760,0,50,0,0
Sun June,220591,0,50,0,0
Tove Lo,50871516,0,50,0,0
Dälek,3647852,0,49,0,0
Jay Sean,10839640,0,49,3,2
Lush,7977395,0,49,1,0
Niki,6605303,0,49,0,0
The Drums,28411074,0,49,0,0
Beat Happening,5832377,0,48,0,0
Big Red Machine,3655004,0,48,0,1
Daft Punk,242817108,0,48,0,0
Doves,19988144,0,48,0,0
Infant Island,122183,0,48,0,0
Public Enemy,15960152,0,48,0,0
Teenage Fanclub,9679273,0,48,0,0
Hannah Peel,619337,0,47,0,0
Noel Gallagher's High Flying Birds,15434437,0,47,0,0
Rachel Stevens,2105595,0,47,0,0
Moses Sumney,6390991,0,46,0,0
The Adventures,898475,0,46,0,0
Uniform,593439,0,46,0,0
AdriAnne Lenker,4769415,0,45,0,0
Dan Deacon,7675752,0,45,0,0
Jazmine Sullivan,7180622,0,45,0,0
Soulwax,9543075,0,45,0,0
Brian Eno,43355275,0,44,0,0
Clutch,20742654,0,44,0,0
Lightning Bolt,5890793,0,44,0,0
Lotic,363727,0,44,0,0
Maya Jones,4273,0,44,0,0
Shame,3272305,0,44,2,0
The Field Mice,2947157,0,44,0,0
The Sidekicks,1124316,0,44,0,0
Alice Boman,1059079,0,43,0,0
Betty Who,3960602,0,43,0,0
Cayetana,893653,0,43,0,0
Crocodiles,2681045,0,43,0,0
Killer Mike,4496688,0,43,0,0
King Krule,26504758,0,43,114,0
Liza Anne,1355306,0,43,0,0
Old Sea Brigade,678541,0,43,0,0
Spirit of the Beehive,1476532,0,43,0,0
Britney Spears,245423896,0,42,3,1
Empath,143214,0,42,0,0
Glass Beach,2991912,0,42,0,0
Karfagen,100573,0,42,0,0
Kirin J Callinan,750689,0,42,0,0
Lydia Ainsworth,457369,0,42,0,0
the spirit of the beehive,908129,0,42,0,0
TNGHT,2583284,0,42,0,0
Yo La Tengo,47050332,0,42,0,0
Against All Logic,4097868,0,41,0,0
amaarae,1371398,0,41,0,0
ECCO2k,13939780,0,41,0,0
Food House,1381380,0,41,0,0
Hot Chip,49810427,0,41,0,0
